Time (s),PHI2,R_W,D0,A0
-0.0015638,1,1,1,1
-0.0015637,0,1,0,1
-0.0015636,0,1,0,1
-0.0015635,0,1,0,1
-0.0015634,0,1,1,1
-0.0015633,0,1,1,1
-0.0015632,1,1,0,0
-0.0015631,1,1,0,0
-0.001563,1,1,0,0
-0.0015629,1,1,0,0
-0.0015628,0,1,0,0
-0.0015627,0,1,0,1
-0.0015626,0,1,0,1
-0.0015625,0,1,0,1
-0.0015624,0,1,1,1
-0.0015623,0,1,1,1
-0.0015622,1,0,0,0
-0.0015621,1,0,0,0
-0.001562,1,0,0,0
-0.0015619,1,0,0,0
-0.0015618,0,0,0,0
-0.0015617,0,1,0,1
-0.0015616,0,1,0,1
-0.0015615,0,1,1,1
-0.0015614,0,1,1,1
-0.0015613,1,1,1,1
-0.0015612,1,1,0,1
-0.0015611,1,1,1,1
-0.001561,1,1,1,1
-0.0015609,1,1,1,1
-0.0015608,0,1,1,1
-0.0015607,0,1,0,1
-0.0015606,0,1,0,1
-0.0015605,0,1,1,1
-0.0015604,0,1,1,1
-0.0015603,1,1,1,0
-0.0015602,1,1,0,0
-0.0015601,1,1,0,0
-0.00156,1,1,0,0
-0.0015599,1,1,0,0
-0.0015598,0,1,0,1
-0.0015597,0,1,0,1
-0.0015596,0,1,0,1
-0.0015595,0,1,1,1
-0.0015594,0,1,1,1
-0.0015593,1,1,1,1
-0.0015592,1,1,0,1
-0.0015591,1,1,0,1
-0.001559,1,1,0,1
-0.0015589,0,1,0,1
-0.0015588,0,1,0,1
-0.0015587,0,1,0,1
-0.0015586,0,1,0,1
-0.0015585,0,1,1,1
-0.0015584,0,1,1,1
-0.0015583,1,0,0,0
-0.0015582,1,0,0,0
-0.0015581,1,0,0,0
-0.001558,1,0,0,0
-0.0015579,0,0,0,0
-0.0015578,0,1,0,1
-0.0015577,0,1,0,1
-0.0015576,0,1,1,1
-0.0015575,0,1,1,1
-0.0015574,1,1,1,1
-0.0015573,1,1,0,0
-0.0015572,1,1,0,0
-0.0015571,1,1,0,0
-0.001557,1,1,0,0
-0.0015569,0,1,0,1
-0.0015568,0,1,0,1
-0.0015567,0,1,0,1
-0.0015566,0,1,1,1
-0.0015565,0,1,1,1
-0.0015564,1,1,1,1
-0.0015563,1,1,1,1
-0.0015562,1,1,1,1
-0.0015561,1,1,1,1
-0.001556,1,1,1,1
-0.0015559,0,1,0,1
-0.0015558,0,1,0,1
-0.0015557,0,1,0,1
-0.0015556,0,1,1,1
-0.0015555,0,1,1,1
-0.0015554,1,1,1,0
-0.0015553,1,1,0,0
-0.0015552,1,1,0,0
-0.0015551,1,1,0,0
-0.001555,1,1,0,0
-0.0015549,0,1,0,1
-0.0015548,0,1,0,1
-0.0015547,0,1,0,1
-0.0015546,0,1,1,1
-0.0015545,0,1,1,1
-0.0015544,1,1,1,1
-0.0015543,1,1,1,1
-0.0015542,1,1,1,1
-0.0015541,1,1,1,1
-0.001554,0,1,1,1
-0.0015539,0,1,0,0
-0.0015538,0,1,0,0
-0.0015537,0,1,0,0
-0.0015536,0,1,0,0
-0.0015535,0,1,0,0
-0.0015534,1,1,0,0
-0.0015533,1,1,0,0
-0.0015532,1,1,0,0
-0.0015531,1,1,0,0
-0.001553,0,1,0,0
-0.0015529,0,1,0,1
-0.0015528,0,1,0,1
-0.0015527,0,1,1,1
-0.0015526,0,1,1,1
-0.0015525,1,1,1,1
-0.0015524,1,1,1,0
-0.0015523,1,1,1,0
-0.0015522,1,1,0,0
-0.0015521,1,1,0,0
-0.001552,0,1,0,1
-0.0015519,0,1,0,1
-0.0015518,0,1,0,1
-0.0015517,0,1,0,1
-0.0015516,0,1,0,1
-0.0015515,1,1,0,1
-0.0015514,1,1,1,1
-0.0015513,1,1,1,1
-0.0015512,1,1,1,1
-0.0015511,1,1,1,1
-0.001551,0,1,0,1
-0.0015509,0,1,0,1
-0.0015508,0,1,0,1
-0.0015507,0,1,1,1
-0.0015506,0,1,1,1
-0.0015505,1,1,1,0
-0.0015504,1,1,0,0
-0.0015503,1,1,0,0
-0.0015502,1,1,0,0
-0.0015501,0,1,0,0
-0.00155,0,1,0,0
-0.0015499,0,1,0,0
-0.0015498,0,1,0,0
